ProjectShortName,SiteID,SubStation,geohash,Iteration,Latitude,Longitude,DateDeploy,TimeDeploy,DateRetrieve,TimeRetrieve,DateTimeDeploy,DateTimeRetrieve,Problem1_from,Problem1_to,CameraHeight,CameraBearing,CameraSlope,CameraID,CameraSensitivity,CameraDelay,CameraPhotosPerTrigger,CameraQuietPeriod,BaitedUnbaited,BaitType,BaitDistance,CameraModel,camtrap_operation_database_ID,Timestamp,Uploader
StatewideDeer,10788,NA,r1hzm8s8,1,-38.09774,141.927733,2022-09-18,16:56:00,2022-11-07,17:25:00,2022-09-18T06:56:00Z,2022-11-07T06:25:00Z,NA,NA,1,180,0,H2RXHO04104980,High,Rapidfire,5,0,Unbaited,None,NA,HYPERFIRE 2 COVERT,b65592bc7a9280567496df895039dc35,2023-06-19T01:57:43Z,Justin Cally
StatewideDeer,11084,NA,r1sbpw4y,1,-36.528388,142.013297,2022-04-05,13:11:20,2022-05-11,13:00:00,2022-04-05T03:11:20Z,2022-05-11T03:00:00Z,NA,NA,1,180,0,HO04101928,High,Rapidfire,5,0,Unbaited,None,NA,HYPERFIRE 2 COVERT,34f24edde8bbb7baa962e66d78e96da2,2023-06-19T01:57:43Z,Justin Cally
StatewideDeer,115,NA,r1u38h4m,1,-34.8696,140.979821,2022-09-16,10:27:00,2022-11-09,16:05:00,2022-09-16T00:27:00Z,2022-11-09T05:05:00Z,2022-10-03T06:22:40Z,2022-11-09T05:05:00Z,1,190,12,H2RXHO04104948,High,Rapidfire,5,0,Unbaited,None,NA,HYPERFIRE 2 COVERT,0f493132dfd994c8a6c25d8467b1e244,2023-06-19T01:57:43Z,Justin Cally
StatewideDeer,11733,NA,r1tj3wjz,1,-35.605374,142.10529,2022-09-15,08:53:00,2022-11-10,18:05:00,2022-09-14T22:53:00Z,2022-11-10T07:05:00Z,NA,NA,1,168,0,H2RXHO0401053,High,Rapidfire,5,0,Unbaited,None,NA,HYPERFIRE 2 COVERT,3775d015134e555848715578824775ce,2023-06-19T01:57:43Z,Justin Cally
StatewideDeer,11805,NA,r1m52nn4,1,-37.36407,142.039811,2022-09-18,08:05:00,2022-11-08,08:10:00,2022-09-17T22:05:00Z,2022-11-07T21:10:00Z,NA,NA,1,170,4,H2RXHO04102720,High,Rapidfire,5,0,Unbaited,None,NA,HYPERFIRE 2 COVERT,5605bb6258fef50b40955b0c6b4b4998,2023-06-19T01:57:43Z,Justin Cally
StatewideDeer,12812,NA,r1mhfcje,1,-37.12778,142.15979,2021-10-17,15:44:00,2021-12-09,13:58:00,2021-10-17T04:44:00Z,2021-12-09T02:58:00Z,NA,NA,1,184,6,HO04104948,High,Rapidfire,5,0,Unbaited,None,NA,HYPERFIRE 2 COVERT,72248455465b05e674c91a0bb63969fa,2023-06-19T01:57:43Z,Justin Cally
StatewideDeer,12887,NA,r1v5hgd6,1,-34.609192,142.243334,2022-04-06,12:03:32,2022-05-12,10:40:00,2022-04-06T02:03:32Z,2022-05-12T00:40:00Z,NA,NA,1,150,0,HO04104982,High,Rapidfire,5,0,Unbaited,None,NA,HYPERFIRE 2 COVERT,edd5e05b1149a66dc6d94e5fb30c6167,2023-06-19T01:57:43Z,Justin Cally
StatewideDeer,12933,NA,r1mh7p3t,1,-37.180957,142.16523,2022-03-30,16:21:13,2022-05-10,12:00:00,2022-03-30T05:21:13Z,2022-05-10T02:00:00Z,NA,NA,1,180,0,HO04101181,High,Rapidfire,5,0,Unbaited,None,NA,HYPERFIRE 2 COVERT,88fd7a477a2bda46a656c6bf5404ffbf,2023-06-19T01:57:43Z,Justin Cally
StatewideDeer,12979,NA,r1tjhq2b,1,-35.64925,142.21916,2021-10-16,11:00:00,2021-12-09,10:40:00,2021-10-16T00:00:00Z,2021-12-08T23:40:00Z,NA,NA,1,155,2,HO04104982,High,Rapidfire,5,0,Unbaited,None,NA,HYPERFIRE 2 COVERT,7c90e52fb88f1d91e2669aee0ca3eead,2023-06-19T01:57:43Z,Justin Cally
StatewideDeer,13417,NA,r1m57g7b,1,-37.37954,142.20148,2021-10-18,12:10:00,2021-12-09,14:54:00,2021-10-18T01:10:00Z,2021-12-09T03:54:00Z,NA,NA,1,178,0,HO04104900,High,Rapidfire,5,0,Unbaited,None,NA,HYPERFIRE 2 COVERT,fd2fc6f4ce14c6eb781febc0f221a4d8,2023-06-19T01:57:43Z,Justin Cally
