Species,SiteID,Distance,size,Date,Time
Cervus unicolor,23308,5 - 7.5,1,2022-04-28,18:02:26
Cervus unicolor,23308,5 - 7.5,1,2022-04-28,18:02:28
Cervus unicolor,23308,5 - 7.5,1,2022-04-28,18:02:36
Cervus unicolor,23308,5 - 7.5,1,2022-04-28,18:02:40
Cervus unicolor,23308,2.5 - 5,1,2022-04-28,18:02:52
Cervus unicolor,23308,2.5 - 5,1,2022-04-28,18:02:54
Cervus unicolor,23308,2.5 - 5,1,2022-04-28,18:02:56
Cervus unicolor,23308,2.5 - 5,1,2022-04-28,18:02:58
Cervus unicolor,23308,2.5 - 5,1,2022-04-28,18:03:16
Cervus unicolor,23308,2.5 - 5,1,2022-04-28,18:03:18
Cervus unicolor,23308,0 - 2.5,1,2022-04-28,18:03:20
Cervus unicolor,23308,0 - 2.5,1,2022-04-28,18:03:22
Cervus unicolor,23308,5 - 7.5,1,2022-04-01,20:26:06
Cervus unicolor,23308,5 - 7.5,1,2022-04-01,20:26:08
Cervus unicolor,23308,5 - 7.5,1,2022-04-01,20:26:16
Cervus unicolor,23308,5 - 7.5,1,2022-04-01,20:26:18
Cervus unicolor,23308,5 - 7.5,1,2022-04-01,20:26:20
Cervus unicolor,23308,5 - 7.5,1,2022-04-01,20:27:30
Cervus unicolor,23308,5 - 7.5,1,2022-04-01,20:27:32
Cervus unicolor,23308,5 - 7.5,1,2022-04-01,20:27:36
Cervus unicolor,23308,5 - 7.5,1,2022-04-01,20:27:38
Cervus unicolor,23308,5 - 7.5,1,2022-04-01,20:27:40
Cervus unicolor,23308,5 - 7.5,1,2022-04-01,20:27:42
Cervus unicolor,23308,5 - 7.5,1,2022-04-01,20:27:44
Cervus unicolor,23308,5 - 7.5,1,2022-04-01,20:27:46
Cervus unicolor,23308,5 - 7.5,1,2022-04-01,20:27:48
Cervus unicolor,23308,5 - 7.5,1,2022-04-01,20:27:50
Cervus unicolor,23308,5 - 7.5,1,2022-04-01,20:27:52
Cervus unicolor,23308,5 - 7.5,1,2022-04-01,20:27:56
Cervus unicolor,23308,5 - 7.5,1,2022-04-01,20:27:58
Cervus unicolor,23308,5 - 7.5,1,2022-04-01,20:28:02
Cervus unicolor,23308,5 - 7.5,1,2022-04-01,20:28:08
Cervus unicolor,23308,5 - 7.5,1,2022-04-01,20:28:10
Cervus unicolor,23308,5 - 7.5,1,2022-04-01,20:28:26
Cervus unicolor,23308,5 - 7.5,1,2022-04-01,20:28:28
Cervus unicolor,23308,5 - 7.5,1,2022-04-01,20:28:30
Cervus unicolor,24138,0 - 2.5,1,2022-09-27,18:50:04
Cervus unicolor,24138,0 - 2.5,1,2022-09-27,18:50:06
Cervus unicolor,24138,0 - 2.5,1,2022-09-27,18:50:08
Cervus unicolor,24138,0 - 2.5,1,2022-09-27,18:50:10
Cervus unicolor,24138,0 - 2.5,1,2022-09-27,18:50:12
Cervus unicolor,24138,0 - 2.5,1,2022-09-27,18:50:14
Cervus unicolor,24138,0 - 2.5,1,2022-09-27,18:50:16
Cervus unicolor,24138,0 - 2.5,1,2022-09-27,18:50:18
Cervus unicolor,24138,0 - 2.5,1,2022-09-27,18:50:20
Cervus unicolor,24138,0 - 2.5,1,2022-09-27,18:50:22
Cervus unicolor,24247,2.5 - 5,1,2021-10-31,02:59:12
Cervus unicolor,24247,5 - 7.5,1,2021-10-31,02:59:40
Cervus unicolor,24247,5 - 7.5,1,2021-10-31,02:59:42
Cervus unicolor,24247,5 - 7.5,1,2021-10-31,02:59:44
Cervus unicolor,24247,5 - 7.5,1,2021-10-31,02:59:52
Cervus unicolor,24247,5 - 7.5,1,2021-10-31,02:59:54
Cervus unicolor,36749,10+,1,2022-09-09,00:41:32
Cervus unicolor,36749,10+,1,2022-09-09,00:41:34
Cervus unicolor,36749,10+,1,2022-09-09,00:41:36
Cervus unicolor,36749,10+,1,2022-09-09,00:41:38
